fila,campo,valor_original,valor_nuevo,motivo
2,f_01,4,2,inversión: item negativo recodificado
2,f_02,4,2,inversión: item negativo recodificado
2,f_03,4,2,inversión: item negativo recodificado
2,f_05,2,4,inversión: item negativo recodificado
3,f_01,1,5,inversión: item negativo recodificado
3,f_02,1,5,inversión: item negativo recodificado
3,f_03,2,4,inversión: item negativo recodificado
3,f_05,1,5,inversión: item negativo recodificado
4,f_01,4,2,inversión: item negativo recodificado
4,f_02,5,1,inversión: item negativo recodificado
4,f_03,4,2,inversión: item negativo recodificado
4,f_05,5,1,inversión: item negativo recodificado
5,f_01,2,4,inversión: item negativo recodificado
5,f_02,2,4,inversión: item negativo recodificado
5,f_03,4,2,inversión: item negativo recodificado
5,f_05,2,4,inversión: item negativo recodificado
6,f_01,1,5,inversión: item negativo recodificado
6,f_02,1,5,inversión: item negativo recodificado
6,f_03,1,5,inversión: item negativo recodificado
6,f_05,1,5,inversión: item negativo recodificado
7,f_01,2,4,inversión: item negativo recodificado
7,f_02,2,4,inversión: item negativo recodificado
7,f_03,2,4,inversión: item negativo recodificado
7,f_05,2,4,inversión: item negativo recodificado
8,f_01,4,2,inversión: item negativo recodificado
8,f_02,4,2,inversión: item negativo recodificado
8,f_03,2,4,inversión: item negativo recodificado
8,f_05,2,4,inversión: item negativo recodificado
9,f_01,4,2,inversión: item negativo recodificado
9,f_02,4,2,inversión: item negativo recodificado
9,f_03,4,2,inversión: item negativo recodificado
9,f_05,4,2,inversión: item negativo recodificado
10,f_01,2,4,inversión: item negativo recodificado
10,f_02,2,4,inversión: item negativo recodificado
10,f_03,2,4,inversión: item negativo recodificado
10,f_05,2,4,inversión: item negativo recodificado
11,edad,Masculino,,"columna desplazada: Edad vacía, sexo en columna edad"
11,f_01,1,5,inversión: item negativo recodificado
11,f_02,1,5,inversión: item negativo recodificado
11,f_03,1,5,inversión: item negativo recodificado
11,f_05,1,5,inversión: item negativo recodificado
12,f_01,2,4,inversión: item negativo recodificado
12,f_02,2,4,inversión: item negativo recodificado
12,f_03,2,4,inversión: item negativo recodificado
12,f_05,4,2,inversión: item negativo recodificado
13,f_01,5,1,inversión: item negativo recodificado
13,f_02,1,5,inversión: item negativo recodificado
13,f_03,1,5,inversión: item negativo recodificado
13,f_05,1,5,inversión: item negativo recodificado
14,f_01,1,5,inversión: item negativo recodificado
14,f_02,2,4,inversión: item negativo recodificado
14,f_03,1,5,inversión: item negativo recodificado
14,f_05,1,5,inversión: item negativo recodificado
15,f_01,4,2,inversión: item negativo recodificado
15,f_02,4,2,inversión: item negativo recodificado
15,f_03,4,2,inversión: item negativo recodificado
15,f_05,2,4,inversión: item negativo recodificado
16,f_01,1,5,inversión: item negativo recodificado
16,f_02,1,5,inversión: item negativo recodificado
16,f_03,2,4,inversión: item negativo recodificado
16,f_05,1,5,inversión: item negativo recodificado
17,f_01,4,2,inversión: item negativo recodificado
17,f_02,5,1,inversión: item negativo recodificado
17,f_03,4,2,inversión: item negativo recodificado
17,f_05,5,1,inversión: item negativo recodificado
18,f_01,2,4,inversión: item negativo recodificado
18,f_02,2,4,inversión: item negativo recodificado
18,f_03,4,2,inversión: item negativo recodificado
18,f_05,2,4,inversión: item negativo recodificado
19,f_01,1,5,inversión: item negativo recodificado
19,f_02,1,5,inversión: item negativo recodificado
19,f_03,1,5,inversión: item negativo recodificado
19,f_05,1,5,inversión: item negativo recodificado
20,f_01,2,4,inversión: item negativo recodificado
20,f_02,2,4,inversión: item negativo recodificado
20,f_03,2,4,inversión: item negativo recodificado
20,f_05,2,4,inversión: item negativo recodificado
21,f_01,4,2,inversión: item negativo recodificado
21,f_02,4,2,inversión: item negativo recodificado
21,f_03,2,4,inversión: item negativo recodificado
21,f_05,2,4,inversión: item negativo recodificado
22,f_01,4,2,inversión: item negativo recodificado
22,f_02,4,2,inversión: item negativo recodificado
22,f_03,4,2,inversión: item negativo recodificado
22,f_05,4,2,inversión: item negativo recodificado
23,f_01,2,4,inversión: item negativo recodificado
23,f_02,2,4,inversión: item negativo recodificado
23,f_03,2,4,inversión: item negativo recodificado
23,f_05,2,4,inversión: item negativo recodificado
24,edad,Masculino,,"columna desplazada: Edad vacía, sexo en columna edad"
24,f_01,1,5,inversión: item negativo recodificado
24,f_02,1,5,inversión: item negativo recodificado
24,f_03,1,5,inversión: item negativo recodificado
24,f_05,1,5,inversión: item negativo recodificado
25,f_01,2,4,inversión: item negativo recodificado
25,f_02,2,4,inversión: item negativo recodificado
25,f_03,2,4,inversión: item negativo recodificado
25,f_05,4,2,inversión: item negativo recodificado
26,f_01,5,1,inversión: item negativo recodificado
26,f_02,1,5,inversión: item negativo recodificado
26,f_03,1,5,inversión: item negativo recodificado
26,f_05,1,5,inversión: item negativo recodificado
27,f_01,1,5,inversión: item negativo recodificado
27,f_02,2,4,inversión: item negativo recodificado
27,f_03,1,5,inversión: item negativo recodificado
27,f_05,1,5,inversión: item negativo recodificado
28,f_01,4,2,inversión: item negativo recodificado
28,f_02,4,2,inversión: item negativo recodificado
28,f_03,4,2,inversión: item negativo recodificado
28,f_05,2,4,inversión: item negativo recodificado
29,f_01,1,5,inversión: item negativo recodificado
29,f_02,1,5,inversión: item negativo recodificado
29,f_03,2,4,inversión: item negativo recodificado
29,f_05,1,5,inversión: item negativo recodificado
30,f_01,4,2,inversión: item negativo recodificado
30,f_02,5,1,inversión: item negativo recodificado
30,f_03,4,2,inversión: item negativo recodificado
30,f_05,5,1,inversión: item negativo recodificado
31,f_01,2,4,inversión: item negativo recodificado
31,f_02,2,4,inversión: item negativo recodificado
31,f_03,4,2,inversión: item negativo recodificado
31,f_05,2,4,inversión: item negativo recodificado
32,f_01,1,5,inversión: item negativo recodificado
32,f_02,1,5,inversión: item negativo recodificado
32,f_03,1,5,inversión: item negativo recodificado
32,f_05,1,5,inversión: item negativo recodificado
33,f_01,2,4,inversión: item negativo recodificado
33,f_02,2,4,inversión: item negativo recodificado
33,f_03,2,4,inversión: item negativo recodificado
33,f_05,2,4,inversión: item negativo recodificado
34,f_01,4,2,inversión: item negativo recodificado
34,f_02,4,2,inversión: item negativo recodificado
34,f_03,2,4,inversión: item negativo recodificado
34,f_05,2,4,inversión: item negativo recodificado
35,f_01,4,2,inversión: item negativo recodificado
35,f_02,4,2,inversión: item negativo recodificado
35,f_03,4,2,inversión: item negativo recodificado
35,f_05,4,2,inversión: item negativo recodificado
36,f_01,2,4,inversión: item negativo recodificado
36,f_02,2,4,inversión: item negativo recodificado
36,f_03,2,4,inversión: item negativo recodificado
36,f_05,2,4,inversión: item negativo recodificado
37,edad,Masculino,,"columna desplazada: Edad vacía, sexo en columna edad"
37,f_01,1,5,inversión: item negativo recodificado
37,f_02,1,5,inversión: item negativo recodificado
37,f_03,1,5,inversión: item negativo recodificado
37,f_05,1,5,inversión: item negativo recodificado
38,f_01,2,4,inversión: item negativo recodificado
38,f_02,2,4,inversión: item negativo recodificado
38,f_03,2,4,inversión: item negativo recodificado
38,f_05,4,2,inversión: item negativo recodificado
39,f_01,5,1,inversión: item negativo recodificado
39,f_02,1,5,inversión: item negativo recodificado
39,f_03,1,5,inversión: item negativo recodificado
39,f_05,1,5,inversión: item negativo recodificado
40,f_01,1,5,inversión: item negativo recodificado
40,f_02,2,4,inversión: item negativo recodificado
40,f_03,1,5,inversión: item negativo recodificado
40,f_05,1,5,inversión: item negativo recodificado
41,f_01,4,2,inversión: item negativo recodificado
41,f_02,4,2,inversión: item negativo recodificado
41,f_03,4,2,inversión: item negativo recodificado
41,f_05,2,4,inversión: item negativo recodificado
42,f_01,1,5,inversión: item negativo recodificado
42,f_02,1,5,inversión: item negativo recodificado
42,f_03,2,4,inversión: item negativo recodificado
42,f_05,1,5,inversión: item negativo recodificado
43,f_01,4,2,inversión: item negativo recodificado
43,f_02,5,1,inversión: item negativo recodificado
43,f_03,4,2,inversión: item negativo recodificado
43,f_05,5,1,inversión: item negativo recodificado
44,f_01,2,4,inversión: item negativo recodificado
44,f_02,2,4,inversión: item negativo recodificado
44,f_03,4,2,inversión: item negativo recodificado
44,f_05,2,4,inversión: item negativo recodificado
