Marca_temporal,Sexo,Edad,Escolaridad,Antiguedad_funcionario,sat_01,sat_02,sat_03,sat_04,cual_01,cual_02,cual_03,cual_04,recom_01,recom_02,recom_03,recom_04,obra_01,obra_02,obra_03,obra_04,cs_01,cs_02
46181.423449004629,Femenino,42,Maestría,19,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
46181.440165358799,Femenino,41,Universitaria,17,5,4,5,4,5,4,5,5,3,5,4,4,5,4,4,5,5,4
46181.4512684375,Femenino,45,Maestría,18,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
46181.455244814817,Femenino,48,Universitaria,23,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
46181.498748564816,Masculino,43,Maestría,20,4,3,4,4,5,4,5,4,2,4,3,3,5,2,3,3,5,4
46181.509978414353,Masculino,41,Universitaria,19,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
46181.590677025466,Masculino,58,Universitaria,28,5,5,5,5,5,5,5,4,4,3,4,3,5,5,4,4,4,5
46181.635894305553,Masculino,43,Maestría,18,4,2,3,4,3,4,4,5,2,3,3,2,2,2,2,4,5,5
46181.645888900464,Masculino,42,Maestría,12,4,3,4,4,4,1,1,1,4,4,1,1,1,1,1,1,3,1
46181.684213101849,Femenino,50,Maestría,25,4,4,4,4,4,4,3,4,4,3,3,4,4,4,4,4,3,3
46181.695721388889,Masculino,42,Maestría,20,4,4,4,4,5,5,5,4,5,4,4,4,5,5,4,4,4,4
46181.70025898148,Femenino,49,Maestría,24,4,4,5,4,5,5,5,4,2,3,3,4,4,4,4,5,4,4
46181.72762774305,Masculino,49,Universitaria,26,4,3,4,4,5,4,4,3,3,3,4,3,4,3,4,4,4,4
46181.728975844904,Masculino,41,Maestría,17,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
46181.72942581019,Masculino,48,Universitaria,19,5,4,5,5,5,4,5,3,4,4,3,3,5,3,4,5,5,4
